,car_park_no,lat,lon
1,ACB,1.30106327208749,103.85411804993099
2,ACM,1.32100429010596,103.88506094761499
3,AH1,1.3282834951093998,103.844619889146
4,AK19,1.3690912161435602,103.834984850341
5,AK31,1.3661204243173302,103.846635631616
6,AK52,1.37243863344224,103.850295697425
7,AK6,1.37483592945335,103.844853841562
8,AK83,1.3766782086821598,103.86384511310699
9,AK9,1.3835990576551398,103.84836808665399
10,AM16,1.3703498012136102,103.835718285157
11,AM18,1.36554001278626,103.844619390219
12,AM19,1.3688861979339497,103.83453102382201
13,AM20,1.3646977329371202,103.84608858611799
14,AM22,1.3645882914751202,103.847653026353
15,AM32,1.37053252446107,103.83437681554301
16,AM43,1.36861071867199,103.85730354666799
17,AM46,1.3721783233234,103.853396384416
18,AM51,1.3699150017188502,103.846698516497
19,AM64,1.3714570202946899,103.853098246057
20,AM79,1.3723282292064198,103.85132794564899
21,AM80,1.37064699017156,103.841861490483
22,AM81,1.37163924205586,103.841947812524
23,AM96,1.3640741492788202,103.850940371229
24,AR1L,1.30387671852445,103.78263177920401
25,AR1M,1.3028486840208202,103.783666774324
26,AR2L,1.30591323446221,103.781154655174
27,AR2M,1.3047388928304098,103.78167448932501
28,AR5M,1.30734352659319,103.784463330084
29,AR7L,1.3058077205618701,103.785591136571
30,AR7M,1.30477137726805,103.785192003839
31,AR9,1.30728436270956,103.78343964059601
32,AV1,1.2855825549923101,103.803215264159
33,AV1K,1.2856374920053402,103.804741042579
34,AV2,1.28491128562143,103.805837442388
35,A1,1.36671439877569,103.841712811912
36,A10,1.36863298161408,103.844524015177
37,A100,1.3779874731949402,103.842602544842
38,A11,1.36703553385711,103.838181096851
39,A12,1.36850982748189,103.838675313237
40,A13,1.36800022165129,103.83680961188601
41,A15,1.36696761050684,103.84041745597
42,A2,1.3662370557741201,103.8430463972
43,A20,1.36494338064154,103.848457091822
44,A21,1.3681275586189101,103.84631322417101
45,A23,1.3673354664536101,103.848913340117
46,A24,1.3647534118811002,103.84939765277399
47,A25,1.3627693074285099,103.851627489277
48,A26,1.3727702022189998,103.83544756414699
49,A27,1.37036305154677,103.83832065154101
50,A28,1.3716499282813701,103.837464288149
51,A29,1.36722625942018,103.848715596645
52,A30,1.37098974668814,103.842418972199
53,A30A,1.37021813453773,103.84275860557501
54,A31,1.37045111927825,103.843699944533
55,A31A,1.3718593403230501,103.843658166136
56,A33,1.37002101134143,103.83469194576999
57,A34,1.3683564732190299,103.851667374102
58,A35,1.36864639260533,103.854081474114
59,A36,1.36640712809735,103.85527878733
60,A37,1.3681130684869098,103.855556550702
61,A38,1.36396370580403,103.85458838271099
62,A39,1.3611510216586797,103.854072154634
63,A4,1.36569162058714,103.841192165018
64,A40,1.36235615053786,103.856982085985
65,A41,1.3649369353058,103.85693260004999
66,A42,1.36658018162896,103.857363892393
67,A43,1.36599673554933,103.859267271977
68,A44,1.3672057432732299,103.85899050852899
69,A45,1.37091769306746,103.85523049601
70,A47,1.3705581670513303,103.859246608911
71,A48,1.3703712814578102,103.85465226093001
72,A49,1.3713296059549298,103.857797087664
73,A50,1.37252246424224,103.85760956795299
74,A51,1.36947073929344,103.834375345023
75,A52,1.3703854326512501,103.846922547118
76,A52L,1.36928063398219,103.84613433583999
77,A53,1.37086502270011,103.84687730858299
78,A54,1.3724343595097699,103.845915354586
79,A55,1.3736385362921202,103.846666862503
80,A56,1.3726986757337098,103.847146218183
81,A57,1.37201961047575,103.84696416467101
82,A58,1.37234700755733,103.847724114309
83,A59,1.37389622141273,103.85813978410101
84,A60,1.37446449543798,103.85591341875099
85,A61,1.37417044612362,103.852160015472
86,A63,1.37521713052952,103.84939908200701
87,A64,1.37053486870123,103.853461797452
88,A65,1.3710291589601102,103.85941720762501
89,A66,1.38054493090841,103.835660622978
90,A67,1.3796863244461297,103.837804889389
91,A68,1.3818976185660201,103.839854214827
92,A69,1.3816414579421699,103.841945435749
93,A7,1.36839248702169,103.841301754389
94,A70,1.38062064114195,103.84010720676399
95,A71,1.38000909369531,103.840741896718
96,A72,1.3807609626573403,103.843530338174
97,A73,1.3788481891377802,103.84082469669599
98,A74,1.37865168028373,103.843804663727
99,A75,1.3762021780623401,103.838684557747
100,A76,1.3779771118917001,103.838834804976
101,A77,1.37635314935273,103.839978570299
102,A78,1.37469471114539,103.838386790934
103,A8,1.36875607099323,103.843307711467
104,A81,1.37435555252556,103.836478794681
105,A82,1.3756749223948201,103.836398652723
106,A83,1.37430755963649,103.86069654091101
107,A85,1.36510737794777,103.84970936855999
108,A86,1.36188489083075,103.85652048735001
109,A87,1.36682635874641,103.85788423737301
110,A88,1.3662807156719199,103.84726652679001
111,A89,1.37045918304517,103.83936784590799
112,A9,1.36807436997813,103.844392197806
113,A90,1.3820006892151102,103.84124722457099
114,A94,1.37185982688331,103.83831596140101
115,A95,1.36751862800778,103.847803809281
116,A98,1.36916431059637,103.831854209648
117,A99,1.37698525725514,103.837213891969
118,BA1,1.33365267993549,103.870798394275
119,BBB,1.29658002772561,103.85366320640101
120,BBM1,1.3464366536863799,103.745382274251
121,BBM2,1.35086707070928,103.749882248379
122,BBM3,1.3445062832256498,103.75991777083999
123,BBM4,1.3455506982843102,103.760178963792
124,BBM5,1.3432428850770302,103.757933611524
125,BBM6,1.34285965211476,103.75505234517999
126,BBM7,1.34735532825893,103.74369552195999
127,BBM8,1.3499692848448,103.748510520704
128,BBM9,1.36583063528229,103.751771828672
129,BE10,1.34774103683307,103.853295407985
130,BE11,1.3497794554538198,103.85304135503799
131,BE12,1.3500135843193604,103.85096301847601
132,BE13,1.34488554091771,103.85152763920901
133,BE14,1.3470591230008602,103.855431690197
134,BE15,1.3451627584912198,103.854838248039
135,BE16,1.36429947706046,103.835060941426
136,BE17,1.36300774829777,103.84767846445101
137,BE18,1.35835109065196,103.83108616866899
138,BE19,1.3488553698228,103.84820175969999
139,BE20,1.34889150352476,103.84866481348301
140,BE21,1.3486246747246498,103.849040518762
141,BE22,1.34943659364674,103.849654953116
142,BE23,1.35009590712064,103.849762913569
143,BE24,1.35533230982928,103.847482841106
144,BE25,1.3551543675245699,103.84830892492701
145,BE26,1.3558952354526201,103.848456699419
146,BE27,1.35665621354662,103.848631146247
147,BE28,1.35792578374441,103.848050392203
148,BE29,1.35745270034741,103.845900851146
